,Year,SP.POP.TOTL,SP.DYN.LE00.IN,NY.GDP.MKTP.KD.ZG,Country Code,Country Name,Region,Income Group,Lending Type
0,2010,195713635,73.619,7.5282258301,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
1,2011,197514534,73.921,3.9744254058,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
2,2012,199287296,74.209,1.9211503184,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
3,2013,201035903,74.483,3.0048463051,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
4,2014,202763735,74.745,0.5039557402,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
5,2015,204471769,74.994,-3.5457633927,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
6,2016,206163058,75.23,-3.2759169078,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
7,2017,207833831,75.456,1.322869054,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
8,2018,209469333,75.672,1.3172239987,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
9,2019,211049527,75.881,1.136585572,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
10,2010,1337705000,74.409,10.6358710645,CHN,China,East Asia & Pacific,Upper middle income,IBRD
11,2011,1344130000,74.708,9.5508321789,CHN,China,East Asia & Pacific,Upper middle income,IBRD
12,2012,1350695000,75.013,7.8637364486,CHN,China,East Asia & Pacific,Upper middle income,IBRD
13,2013,1357380000,75.321,7.7661500976,CHN,China,East Asia & Pacific,Upper middle income,IBRD
14,2014,1364270000,75.629,7.4257636563,CHN,China,East Asia & Pacific,Upper middle income,IBRD
15,2015,1371220000,75.928,7.0413288788,CHN,China,East Asia & Pacific,Upper middle income,IBRD
16,2016,1378665000,76.21,6.8487622049,CHN,China,East Asia & Pacific,Upper middle income,IBRD
17,2017,1386395000,76.47,6.9472007933,CHN,China,East Asia & Pacific,Upper middle income,IBRD
18,2018,1392730000,76.704,6.7497738325,CHN,China,East Asia & Pacific,Upper middle income,IBRD
19,2019,1397715000,76.912,5.9497142327,CHN,China,East Asia & Pacific,Upper middle income,IBRD
20,2010,65027507,81.6634146341,1.9494376231000001,FRA,France,Europe & Central Asia,High income,Not classified
21,2011,65342780,82.1146341463,2.1927006327,FRA,France,Europe & Central Asia,High income,Not classified
22,2012,65659809,81.9682926829,0.3131347511,FRA,France,Europe & Central Asia,High income,Not classified
23,2013,65998687,82.2195121951,0.5763266748,FRA,France,Europe & Central Asia,High income,Not classified
24,2014,66312067,82.7195121951,0.9561830524,FRA,France,Europe & Central Asia,High income,Not classified
25,2015,66548272,82.3219512195,1.1129123406,FRA,France,Europe & Central Asia,High income,Not classified
